,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
0,центр,Авоту 11,2,56.0,380,30,5,6,0,Дов. дом,Каменный,Балкон,56.9507941,24.1291509,0
1,Зиепниеккалнс,Озолциема 28,1,36.0,230,30,8,9,1,602-я,Панельный,"Лоджия, Парковочное место",56.8993465,24.0965117,0
2,центр,Миера 23,1,29.0,370,30,1,3,0,Дов. дом,Деревянный,,56.9631206,24.1312416,0
3,Кенгарагс,Прушу 13,1,29.0,230,30,4,4,0,Хрущ.,Кирпичный,,56.91353902177565,24.18879974792559,0
4,Дарзциемс,Пилдас 44a,1,25.0,250,30,2,3,0,Ч. дом,Кирпичный,Парковочное место,56.9423826,24.1903993,0
5,центр,Матиса 80,2,40.0,380,30,2,5,0,Дов. дом,Кирпичный,,56.9510562,24.1459753,0
6,центр,Чака 117/1,3,67.0,510,30,2,6,1,Рекон.,Каменный,Парковочное место,56.9591716,24.1410583,0
7,Иманта,Слокас 205,2,49.0,360,30,5,5,0,Лит. пр.,Панельный,Лоджия,56.9630003,24.0093281,0
8,центр,Гертрудес 9,3,144.0,850,30,1,7,0,Дов. дом,Каменный,,56.9584131,24.121237,0
9,Югла,Малиенас 74,2,47.0,300,30,3,5,0,Лит. пр.,Кирпично-панельный,Лоджия,56.9758794,24.2512046,0
10,центр,Матиса 18,3,72.0,500,30,4,5,0,Дов. дом,Каменный,Парковочное место,56.9574978,24.1318607,0
11,Иманта,Курземес пр. 154,2,50.0,300,30,5,9,1,602-я,Панельный,Лоджия,56.9572301,23.9989445,0
12,Кенгарагс,Маскавас 285/5,2,44.0,380,30,4,5,0,Лит. пр.,Панельный,"Балкон, Парковочное место",56.9172742,24.1757799,0
13,Шампетерис-Плескодале,Волгунтес 3-20,2,54.0,250,30,3,3,0,Дов. дом,Каменный,,56.9403014,24.0495656,0
14,Дарзциемс,Дарзциема 131,3,65.0,370,30,5,5,0,103-я,Кирпично-панельный,Лоджия,56.9320302,24.1821518,0
15,центр,Стабу 46,2,40.0,350,30,1,6,0,Дов. дом,Каменный,,56.9545063,24.1316496,0
